,bubble_sort,shaker_sort,selection_sort,quick_sort,modified_quick_sort,merge_sort,hash_sort
03,05.32,05.00,04.81,04.91,04.70,05.75,04.09
04,07.81,07.18,06.91,06.09,06.17,07.15,05.00
05,09.86,09.00,08.95,07.51,07.41,08.42,06.02
06,11.95,11.13,10.98,08.54,08.67,09.67,07.00
07,13.73,13.07,12.99,09.86,09.83,10.88,07.99
08,15.87,15.10,14.99,11.13,11.04,12.07,09.00
09,17.95,17.11,17.00,12.36,12.30,13.23,10.00
10,19.96,19.04,19.00,13.48,13.67,14.37,11.00
11,21.96,21.01,21.00,14.70,14.72,15.51,12.00
12,23.99,23.03,23.00,15.85,15.82,16.63,13.00
