,bubble_sort,shaker_sort,selection_sort,quick_sort,modified_quick_sort,merge_sort,hash_sort
03,02.32,02.32,02.00,04.09,03.81,05.58,04.00
04,05.58,05.58,03.58,05.73,05.64,07.00,05.00
05,08.13,08.13,04.75,06.79,07.29,08.32,06.00
06,09.94,09.94,05.81,08.55,08.44,09.58,07.00
07,11.95,11.95,06.93,09.66,09.72,10.81,08.00
08,14.01,14.01,07.96,11.16,11.17,12.00,09.00
09,15.99,15.99,08.97,12.25,12.29,13.17,10.00
10,17.96,17.96,09.99,13.38,13.36,14.32,11.00
11,19.97,19.97,11.00,14.70,14.58,15.46,12.00
12,22.00,22.00,12.00,15.67,15.72,16.58,13.00
